horizon	method	drift_exponent	worst_case_efficiency	worst_case_p	worst_case_drift_ratio
100	Triangular	0.007742636826811269	0.9388559881657128	1.0	0.9659672580093828
100	Triangular	0.012915496650148841	0.9368218214474267	3.6	0.9659672580093828
100	Triangular	0.02154434690031884	0.9386971321267988	1.0	0.9013370389517429
100	Triangular	0.03593813663804627	0.9410976149798962	2.8	0.9013370389517429
100	Triangular	0.05994842503189412	0.9453457559332474	1.8	0.812408457786297
100	Triangular	0.10000000000000002	0.9516741401162669	4.4	0.7847599703514607
100	Triangular	0.2	0.9652637029968457	1.4	0.4668452370703792
100	Triangular	0.3	0.9758305079184729	1.6	0.353893169549099
100	Triangular	0.4	0.9836425955837438	1.0	0.15959067764047302
100	Triangular	0.5	0.9895939585592526	1.2	0.1342207152716013
100	Triangular	0.6	0.9936427011980791	1.0	0.07196856730011524
100	Triangular	0.7	0.9965462400191465	1.0	0.039948801939541694
100	Triangular	0.8	0.9979898369823152	1.0	0.536195677056882
100	Triangular	0.9	0.99826420989621	1.0	0.5003202953826005
100	Triangular	1.0	0.9984024541748621	1.0	0.318977021546632
100	Triangular	1.1	0.9982750860403494	1.1	0.4356099030694608
100	Triangular	1.2	0.998434087758394	1.2	0.019987196386572495
100	Triangular	1.3	0.997475828778673	1.3	0.00933092743546166
100	Triangular	1.4	0.9962459307303622	1.4	0.011094628943275226
100	Triangular	1.5	0.9947350824295443	1.5	0.0075805243675592555
100	Triangular	1.6	0.9931678059373954	1.6	0.007073332279644441
100	Triangular	1.7	0.9913961175119873	1.7	0.007073332279644441
100	Triangular	1.8	0.9895600514776103	1.8	0.007073332279644441
100	Triangular	1.9	0.9876952992482061	1.9	0.0055508680300598075
100	Triangular	2.0	0.9856810348867064	2.0	0.0055508680300598075
100	Triangular	2.1	0.9837169564510876	2.1	0.0059488920779343386
100	Triangular	2.2	0.9815869280197278	2.2	0.005003202953826001
100	Triangular	2.3	0.979601261919059	2.4349999999999996	0.0061584821106602594
100	Triangular	2.4	0.9775663590078322	2.4	0.004832930238571755
100	Triangular	2.5	0.9753920924066275	2.5	0.004064644395709627
100	Triangular	2.6	0.9734287233265542	3.08	0.007322538337604539
100	Triangular	2.7	0.9713183439344995	2.7	0.0042078490362974065
100	Triangular	2.8	0.9692853129071886	2.8	0.003792690190732249
100	Triangular	2.9	0.9672661644806704	2.9	0.0034184921461759324
100	Triangular	3.0	0.9653615081915358	3.5	0.0059488920779343386
100	Triangular	3.1	0.9633306595819431	3.195	0.003538931695490988
100	Triangular	3.2	0.9614624101083412	3.5600000000000005	0.005003202953826001
100	Triangular	3.3	0.9594988424904931	3.4699999999999998	0.003538931695490988
100	Triangular	3.4	0.9576509013499944	3.56	0.003792690190732249
100	Triangular	3.5	0.9557817088387601	3.8000000000000003	0.00392631340170684
100	Triangular	3.6	0.9539755814106384	3.6	0.003189770215466324
100	Triangular	3.7	0.9521246627047347	3.9600000000000004	0.003302151484968173
100	Triangular	3.8	0.950402285955343	3.86	0.0029763514416313187
100	Triangular	3.9	0.9486404564378849	4.01	0.0026826957952797263
100	Triangular	4.0	0.9468582750174794	4.0	0.0023357214690901216
100	Triangular	4.1	0.9452337306178055	4.1	0.0024180130845257216
100	Triangular	4.2	0.9435636321093377	4.48	0.0029763514416313187
100	Triangular	4.3	0.9419477203050695	4.335	0.002503203979717325
100	Triangular	4.4	0.9402952818081628	4.460000000000001	0.0023357214690901216
100	Triangular	4.5	0.9387271210015784	4.725	0.0025913963014396603
100	Triangular	4.6	0.9371959416905343	4.6	0.0021052722727657085
100	Triangular	4.7	0.9356464781342612	4.7	0.002179444753752986
100	Triangular	4.8	0.9341598604416448	4.91	0.002179444753752986
100	Triangular	4.9	0.9326538111094187	4.955	0.002033624084686673
100	Triangular	5.0	0.9312450612563379	5.0	0.0018975598765218495
100	Windowing	0.0	0.9999999999999929	1.0	0.0
100	Windowing	0.0010000000000000002	0.999141132078102	1.0	0.9659672580093828
100	Windowing	0.0016681005372000597	0.9971872470458756	1.0	0.9659672580093828
100	Windowing	0.002782559402207127	0.9894240296188926	1.0	0.9659672580093828
100	Windowing	0.004641588833612776	0.9460599184105702	1.0	0.9659672580093828
100	Windowing	0.007742636826811269	0.7651674982388398	1.2	0.9659672580093828
100	Windowing	0.012915496650148841	0.76413843969981	3.6	0.9659672580093828
100	Windowing	0.02154434690031884	0.7661229726094788	1.0	0.9013370389517429
100	Windowing	0.03593813663804627	0.7693452420798502	2.8	0.9013370389517429
100	Windowing	0.05994842503189412	0.7746534248622677	1.8	0.812408457786297
100	Windowing	0.10000000000000002	0.7830995763957532	2.2	0.7322538337604529
100	Windowing	0.2	0.8022728821315549	3.2	0.5948892077934331
100	Windowing	0.3	0.8188997815053107	1.2	0.287505804094488
100	Windowing	0.4	0.8333207621888492	1.0	0.15415936928422727
100	Windowing	0.5	0.8458377701182503	1.8	0.20336240846866735
100	Windowing	0.6	0.8567635712782409	1.4	0.10904204429677529
100	Windowing	0.7	0.8545572320623774	1.0	0.48329302385717493
100	Windowing	0.8	0.8617359413558032	1.0	0.4356099030694608
100	Windowing	0.9	0.8579501639734213	1.0	0.406464439570963
100	Windowing	1.0	0.8580980924013591	1.0	0.3663614544020714
100	Windowing	1.1	0.8664383186288761	1.1	0.3418492146175927
100	Windowing	1.2	0.8695963926867277	1.2	0.3302151484968176
100	Windowing	1.3	0.8686798471895892	1.3	0.3081213588714004
100	Windowing	1.4	0.8785931218086493	1.4	0.287505804094488
100	Windowing	1.5	0.8812102145645874	1.5	0.2777211932429354
100	Windowing	1.6	0.885348486851266	1.6	0.25913963014396574
100	Windowing	1.7	0.8899451175474733	1.7	0.25032039797173256
100	Windowing	1.8	0.8942263896744762	1.8	0.23357214690901223
100	Windowing	1.9	0.8949781752648309	1.9	0.2256230462970633
100	Windowing	2.0	0.9023459027413263	2.15	0.2179444753752986
100	Windowing	2.1	0.904818206637706	2.1	0.20336240846866735
100	Windowing	2.2	0.905718826838238	2.2	0.19644142809066267
100	Windowing	2.3	0.9133506697505883	2.4349999999999996	0.18975598765218504
100	Windowing	2.4	0.9161003647470297	2.53	0.1832980710832435
100	Windowing	2.5	0.91967430179749	2.5	0.17103410003378397
100	Windowing	2.6	0.9217930410630853	2.6	0.16521334063573703
100	Windowing	2.7	0.9241437185613778	2.7	0.15959067764047302
100	Windowing	2.8	0.9266853169168385	2.8	0.15415936928422727
100	Windowing	2.9	0.9302136770432925	2.9	0.14891290324394088
100	Windowing	3.0	0.9338734075192842	3.0	0.1438449888287663
100	Windowing	3.1	0.9368870347563063	3.1	0.1389495494373137
100	Windowing	3.2	0.9392573890709592	3.2	0.1342207152716013
100	Windowing	3.3	0.9409907380870317	3.3	0.12965281629896674
100	Windowing	3.4	0.9438627269810096	3.4	0.1252403754535073
100	Windowing	3.5	0.946758020914272	3.5	0.12097810206889008
100	Windowing	3.6	0.9485542701502178	3.6	0.07196856730011524
100	Windowing	3.7	0.9508310376087572	3.7	0.06951927961775602
100	Windowing	3.8	0.9518533811312969	3.92	0.06951927961775602
100	Windowing	3.9	0.9538302359834027	4.01	0.06715334791115145
100	Windowing	4.0	0.954576808549623	4.05	0.06486793534788508
100	Windowing	4.1	0.9556446798311193	4.1	0.06266030164072657
100	Windowing	4.2	0.9575144627965	4.36	0.06266030164072657
100	Windowing	4.3	0.9585636905239125	4.3	0.04281332398719392
100	Windowing	4.4	0.959895176763128	4.460000000000001	0.058467872769375935
100	Windowing	4.5	0.9606870120218742	4.55	0.041356269178177106
100	Windowing	4.6	0.9615815674530436	4.619999999999999	0.039948801939541694
100	Windowing	4.7	0.9624423441648462	4.82	0.039948801939541694
100	Windowing	4.8	0.9633395444798856	4.87	0.03858923467029906
100	Windowing	4.9	0.9640484966056505	4.91	0.03727593720314938
100	Windowing	5.0	0.9654651174021477	5.0	0.02825711502920827
100	Smoothing	0.0	0.9999999999999947	1.0	0.2179444753752986
100	Smoothing	0.0010000000000000002	0.9998373174410513	1.0	0.9659672580093828
100	Smoothing	0.0016681005372000597	0.999484124453006	1.0	0.9659672580093828
100	Smoothing	0.002782559402207127	0.9982027485218901	1.0	0.9659672580093828
100	Smoothing	0.004641588833612776	0.9927107278573825	1.0	0.9659672580093828
100	Smoothing	0.007742636826811269	0.9841595784272122	1.4	0.9659672580093828
100	Smoothing	0.012915496650148841	0.9840972675688261	1.0	0.9659672580093828
100	Smoothing	0.02154434690031884	0.9728749154778003	1.0	0.9659672580093828
100	Smoothing	0.03593813663804627	0.970214506864609	3.0	0.9659672580093828
100	Smoothing	0.05994842503189412	0.9682803684354913	2.4	0.9330927435461669
100	Smoothing	0.10000000000000002	0.9666123822057942	4.2	0.9013370389517429
100	Smoothing	0.2	0.9612467256909014	1.6	0.7847599703514607
100	Smoothing	0.3	0.9557969368257554	2.0	0.7073332279644442
100	Smoothing	0.4	0.9495320798856777	2.0	0.5948892077934331
100	Smoothing	0.5	0.9422333221653938	1.8	0.5179474679231207
100	Smoothing	0.6	0.9340599054730233	1.0	0.3418492146175927
100	Smoothing	0.7	0.9245377272505663	1.0	0.25913963014396574
100	Smoothing	0.8	0.9136789825552064	1.0	0.15415936928422727
100	Smoothing	0.9	0.9016784589179437	1.0	0.056478050740675516
100	Smoothing	1.0	0.8885905355964671	1.0	0.03858923467029906
100	Smoothing	1.1	0.8755038641852534	1.1	0.03478190651314129
100	Smoothing	1.2	0.8624246037926019	1.39	0.03858923467029906
100	Smoothing	1.3	0.849377718518295	1.3	0.02546918438974542
100	Smoothing	1.4	0.836318150830466	1.5799999999999998	0.0324547445741133
100	Smoothing	1.5	0.8235461419013005	1.6749999999999998	0.02925266337436646
100	Smoothing	1.6	0.8111408813561064	1.77	0.026366508987303576
100	Smoothing	1.7	0.7986976678780244	1.7	0.019306977288832503
100	Smoothing	1.8	0.7866278090443105	1.8	0.018015200408020265
100	Smoothing	1.9	0.7748176952596945	1.9	0.015685151643735476
100	Smoothing	2.0	0.7633132074608803	2.15	0.018649907912142962
100	Smoothing	2.1	0.7520554618000589	2.1	0.014635701180190813
100	Smoothing	2.2	0.7410898779908477	2.2	0.013656466567946113
100	Smoothing	2.3	0.7304938064577431	2.3	0.013656466567946113
100	Smoothing	2.4	0.7200460734560216	3.05	0.021420374903583835
100	Smoothing	2.5	0.7098365577730128	2.75	0.014635701180190813
100	Smoothing	2.6	0.6999192703352257	2.6	0.011485512424239373
100	Smoothing	2.7	0.6903404101357062	2.815	0.011485512424239373
100	Smoothing	2.8	0.6809365877093232	3.02	0.011890167424419906
100	Smoothing	2.9	0.6718315404158282	3.005	0.010717048298967108
100	Smoothing	3.0	0.6628184859721314	3.0	0.00933092743546166
100	Smoothing	3.1	0.6541681412569884	3.195	0.009659672580093842
100	Smoothing	3.2	0.6457183643812479	3.92	0.014137608138073595
100	Smoothing	3.3	0.6374370463230152	3.64	0.011094628943275226
100	Smoothing	3.4	0.6294211394957484	3.6399999999999997	0.00933092743546166
100	Smoothing	3.5	0.6214963782615438	3.5	0.007847599703514618
100	Smoothing	3.6	0.6138673601188548	3.6	0.007073332279644441
100	Smoothing	3.7	0.6063929844092135	3.765	0.0075805243675592555
100	Smoothing	3.8	0.5990820899965548	3.98	0.007847599703514618
100	Smoothing	3.9	0.5920136744750689	4.615	0.010352317759307388
100	Smoothing	4.0	0.5849762254925704	4.0	0.0063754563724565125
100	Smoothing	4.1	0.5782568332390926	4.505	0.008410310505352608
100	Smoothing	4.2	0.5716048583954437	4.4399999999999995	0.007322538337604539
100	Smoothing	4.3	0.5651230471925967	4.859999999999999	0.008410310505352608
100	Smoothing	4.4	0.5587660431642836	4.43	0.0059488920779343386
100	Smoothing	4.5	0.5526045498087424	4.825	0.006832607387157404
100	Smoothing	4.6	0.5465774329610146	4.64	0.0055508680300598075
100	Smoothing	4.7	0.5406155909178839	4.85	0.005746434968715973
100	Smoothing	4.8	0.5348430054288279	4.95	0.0055508680300598075
100	Smoothing	4.9	0.5291974847777889	4.99	0.005179474679231215
100	Smoothing	5.0	0.5237563703227965	5.0	0.005003202953826001
1000	Triangular	0.0	0.9999999999999112	2.4	0.9659672580093828
1000	Triangular	0.0010000000000000002	0.9997294299366406	1.0	0.9659672580093828
1000	Triangular	0.0016681005372000597	0.9989893923697752	1.0	0.9659672580093828
1000	Triangular	0.002782559402207127	0.9948785972611653	1.0	0.9659672580093828
1000	Triangular	0.004641588833612776	0.933048711323984	1.0	0.9659672580093828
1000	Triangular	0.007742636826811269	0.9185714456360601	2.0	0.9659672580093828
1000	Triangular	0.012915496650148841	0.9210039128563559	1.4	0.9330927435461669
1000	Triangular	0.02154434690031884	0.9223693002616861	4.0	0.9330927435461669
1000	Triangular	0.03593813663804627	0.9261488374929042	2.6	0.8706620680585127
1000	Triangular	0.05994842503189412	0.9320763403859793	1.0	0.6600075022827095
1000	Triangular	0.10000000000000002	0.9410777233537568	2.2	0.6600075022827095
1000	Triangular	0.2	0.9590962504145414	1.2	0.29763514416313164
1000	Triangular	0.3	0.9723204222647448	1.0	0.12965281629896674
1000	Triangular	0.4	0.9818273643027609	1.0	0.06715334791115145
1000	Triangular	0.5	0.9885275727747449	1.0	0.0360073348498562
1000	Triangular	0.6	0.9931286758245418	1.0	0.015685151643735476
1000	Triangular	0.7	0.9963234975850226	1.2	0.020691380811147905
1000	Triangular	0.8	0.9979898361856702	1.0	0.536195677056882
1000	Triangular	0.9	0.9982642065651136	1.0	0.5003202953826005
1000	Triangular	1.0	0.9984024530023237	1.0	0.318977021546632
1000	Triangular	1.1	0.9982750850882386	1.1	0.4356099030694608
1000	Triangular	1.2	0.9984210865404336	1.2	0.0010904204429677525
1000	Triangular	1.3	0.9973792822853912	1.3	0.00165213340635737
1000	Triangular	1.4	0.9961333324930048	1.4	0.0008265958738801808
1000	Triangular	1.5	0.9946490941378063	1.5	0.0013422071527160124
1000	Triangular	1.6	0.9929556093127813	1.6	0.0012524037545350725
1000	Triangular	1.7	0.9911932701467933	1.7	0.000917077450674292
1000	Triangular	1.8	0.9893259128611653	1.8	0.000917077450674292
1000	Triangular	1.9	0.9873902349948129	1.9	0.0012524037545350725
1000	Triangular	2.0	0.9853818524064133	2.0	0.0009828363332770034
1000	Triangular	2.1	0.983354442449262	2.245	0.0008265958738801808
1000	Triangular	2.2	0.981296066430001	2.2	0.0006486793534788518
1000	Triangular	2.3	0.979236444577796	2.3	0.000949387717927583
1000	Triangular	2.4	0.9771399999978293	2.4	0.0004588324610100842
1000	Triangular	2.5	0.9750683498072282	2.5	0.0005269925931575652
1000	Triangular	2.6	0.9730124195579742	2.6	0.0006052779976193342
1000	Triangular	2.7	0.9709544195634944	2.7	0.0005455594781168517
1000	Triangular	2.8	0.9689165627281638	2.8	0.0003600733484985618
1000	Triangular	2.9	0.9668711041484119	2.9	0.00044321713424760856
1000	Triangular	3.0	0.9648960834549377	3.0	0.0005455594781168517
